ID,Listening,Reading,Type
11.4,7.0,7.0,practice
12.1,6.5,7.5,practice
12.2,7.5,8.0,practice
12.3,7.5,8.0,practice
12.4,7.0,6.5,practice
13.1,8.5,7.0,practice
13.2,8.5,8.5,practice
13.3,7.5,8.0,practice
13.4,6.5,8.5,practice
14.1,8.5,8.0,practice
14.2,6.5,7.0,practice
14.3,7.0,8.0,practice
14.4,7.0,9.0,practice
15.1,7.5,8.0,practice
15.2,8.0,8.0,practice
15.3,7.0,8.5,practice
15.4,8.5,8.5,practice
16.1,7.0,8.5,practice
16.2,7.5,7.0,practice
16.3,8.0,8.0,practice
16.4,8.5,6.5,practice
17.1,7.0,8.0,practice
17.2,7.0,6.5,practice
17.3,7.0,7.5,practice
17.4,7.0,8.0,practice
18.1,8.5,8.0,practice
18.2,7.0,8.5,practice
18.3,7.0,7.0,practice
18.4,8.0,7.5,practice
19.1,7.5,7.5,practice
19.2,8.0,7.5,practice
19.3,7.5,7.5,practice
19.4,7.0,7.5,practice
20.1,8.5,7.5,practice
20.2,8.5,8.5,practice
20.3,8.0,7.5,practice
20.4,8.0,8.5,practice
21.1,7.5,7.5,real_exam
